area,bedrooms,bathrooms,stories,parking,age,location,price
2080,4,3,2,2,3,Jodhpur,8700000
2650,4,4,3,3,2,Delhi,17000000
980,2,1,1,0,17,Kota,3100000
1260,2,2,1,1,8,Ajmer,4700000
1560,3,2,2,1,7,Jaipur,6200000
1860,3,3,2,2,4,Udaipur,7700000
2160,4,3,2,2,6,Jodhpur,8900000
2750,5,4,3,3,3,Delhi,18000000
1120,2,1,1,1,12,Kota,3700000
1420,3,2,1,1,9,Ajmer,5300000
1720,3,2,2,2,5,Jaipur,6900000
2020,4,3,2,2,4,Jodhpur,8600000
2420,4,4,2,3,2,Udaipur,11800000
2850,5,4,3,3,3,Delhi,19500000
1010,2,1,1,0,19,Kota,3000000
1310,2,2,1,1,7,Jaipur,4900000
1610,3,2,2,1,6,Ajmer,5900000
1910,3,3,2,2,5,Udaipur,8200000
2210,4,3,2,2,4,Jodhpur,9200000
2500,4,4,3,3,2,Delhi,15500000
1090,2,1,1,1,13,Kota,3500000
1390,3,2,1,1,8,Ajmer,5100000
1690,3,2,2,2,6,Jaipur,6600000
1990,4,3,2,2,5,Jodhpur,8300000
2320,4,4,2,3,4,Udaipur,10800000
2700,5,4,3,3,2,Delhi,17800000
1160,2,2,1,1,11,Jaipur,4300000
1460,3,2,2,1,7,Jaipur,6000000
1760,3,3,2,2,5,Udaipur,7400000
2060,4,3,2,2,3,Jodhpur,8800000
2580,4,4,3,3,3,Delhi,16800000
940,2,1,1,0,21,Kota,2800000
1240,2,2,1,1,9,Ajmer,4500000
1540,3,2,2,1,6,Jaipur,6100000
1840,3,3,2,2,4,Udaipur,7600000
2140,4,3,2,2,5,Jodhpur,9100000
2780,5,4,3,3,2,Delhi,18800000
1060,2,1,1,1,15,Kota,3300000
1360,3,2,1,1,10,Ajmer,4800000
1660,3,2,2,2,7,Jaipur,6500000
1960,4,3,2,2,4,Jodhpur,8500000
2380,4,4,2,3,3,Udaipur,11200000
2950,5,5,3,4,2,Delhi,22000000
1140,2,1,1,1,12,Kota,3900000
1440,3,2,1,1,8,Ajmer,5200000
1740,3,3,2,2,6,Jaipur,7000000
2040,4,3,2,2,5,Jodhpur,8700000
2480,4,4,3,3,3,Udaipur,12000000
2680,5,4,3,3,4,Delhi,17200000
990,2,1,1,0,18,Kota,2950000
1290,2,2,1,1,7,Jaipur,5000000
1590,3,2,2,1,5,Ajmer,5800000
1890,3,3,2,2,4,Udaipur,8100000
2190,4,3,2,2,6,Jodhpur,9000000
2550,4,4,3,3,2,Delhi,15800000
1110,2,1,1,1,14,Kota,3600000
1410,3,2,1,1,9,Ajmer,5000000
1710,3,2,2,2,6,Jaipur,6800000
2010,4,3,2,2,4,Jodhpur,8900000
2360,4,4,2,3,3,Udaipur,11000000
2800,5,4,3,4,2,Delhi,18500000
1190,2,2,1,1,8,Jaipur,4700000
1490,3,2,2,1,7,Jaipur,6200000
1790,3,3,2,2,5,Udaipur,7500000
2090,4,3,2,2,4,Jodhpur,9100000
2470,4,4,3,3,3,Delhi,14800000
2650,5,4,3,3,2,Delhi,16800000
1030,2,1,1,0,16,Kota,3150000
1330,3,2,1,1,10,Ajmer,4900000
1630,3,2,2,1,8,Jaipur,6300000
1930,4,3,2,2,5,Jodhpur,8500000
2230,4,3,2,2,4,Udaipur,10200000
2750,5,4,3,3,3,Delhi,18200000
1070,2,1,1,1,13,Kota,3450000
1370,3,2,1,1,8,Ajmer,5050000
1670,3,2,2,2,6,Jaipur,6700000
1970,4,3,2,2,5,Jodhpur,8400000
2330,4,4,2,3,3,Udaipur,10900000
2880,5,5,3,4,2,Delhi,21000000
1170,2,2,1,1,9,Jaipur,4550000
1470,3,2,2,1,6,Jaipur,6250000
1770,3,3,2,2,4,Udaipur,7800000
2070,4,3,2,2,5,Jodhpur,8950000
2430,4,4,3,3,3,Delhi,15200000
2620,5,4,3,3,2,Delhi,16500000
